Kabul	Afghanistan
Tirana	Albania
Algiers	Algeria
Pago Pago	American Samoa
Andorra la Vella	Andorra
Luanda	Angola
The Valley	Anguilla
St. John's	Antigua and Barbuda
Buenos Aires	Argentina
Yerevan	Armenia
Oranjestad	Aruba
Canberra	Australia
Vienna	Austria
Baku	Azerbaijan
Nassau	Bahamas
Manama	Bahrain
Dhaka	Bangladesh
Bridgetown	Barbados
Minsk	Belarus
Brussels	Belgium
Belmopan	Belize
Porto-Novo (official)	
Cotonou (de facto)	Benin
Hamilton	Bermuda
Thimphu	Bhutan
Sucre (constitutional)	
La Paz (administrative)	Bolivia
Sarajevo	Bosnia and Herzegovina
Gaborone	Botswana
Brasília	Brazil
Road Town	British Virgin Islands
Bandar Seri Begawan	Brunei
Sofia	Bulgaria
Ouagadougou	Burkina Faso
Bujumbura	Burundi
Phnom Penh	Cambodia
Yaoundé	Cameroon
Ottawa	Canada
Praia	Cape Verde
George Town	Cayman Islands
Bangui	Central African Republic
N'Djamena	Chad
Santiago	Chile
Beijing	China
Bogotá	Colombia
Moroni	Comoros
San José	Costa Rica
Zagreb	Croatia
Havana	Cuba
Willemstad	Curaçao
Nicosia	Cyprus
Prague	Czech Republic
Kinshasa	Democratic Republic of the Congo
Copenhagen	Denmark
Djibouti	Djibouti
Roseau	Dominica
Santo Domingo	Dominican Republic
Dili	East Timor (Timor-Leste)
Quito	Ecuador
Cairo	Egypt
San Salvador	El Salvador
Malabo	Equatorial Guinea
Asmara	Eritrea
Tallinn	Estonia
Addis Ababa	Ethiopia
Stanley	Falkland Islands
Tórshavn	Faroe Islands
Suva	Fiji
Helsinki	Finland
Paris	France
Cayenne	French Guiana
Libreville	Gabon
Banjul	Gambia
Tbilisi	Georgia
Berlin	Germany
Accra	Ghana
Gibraltar	Gibraltar
Athens	Greece
Nuuk	Greenland
St. George's	Grenada
Guatemala City	Guatemala
St. Peter Port	Guernsey
Conakry	Guinea
Bissau	Guinea-Bissau
Georgetown	Guyana
Port-au-Prince	Haiti
Tegucigalpa	Honduras
Budapest	Hungary
Reykjavík	Iceland
New Delhi	India
Jakarta	Indonesia
Tehran	Iran
Baghdad	Iraq
Dublin	Ireland
Douglas	Isle of Man
Jerusalem (declared, de facto)	Israel
Rome	Italy
Yamoussoukro (official)	
Abidjan (former capital; still has many government offices)	Ivory Coast
Kingston	Jamaica
Tokyo	Japan
St. Helier	Jersey
Amman	Jordan
Astana	Kazakhstan
Nairobi	Kenya
Pristina	Kosovo
Kuwait City	Kuwait
Bishkek	Kyrgyzstan
Vientiane	Laos
Riga	Latvia
Beirut	Lebanon
Maseru	Lesotho
Monrovia	Liberia
Tripoli	Libya
Vaduz	Liechtenstein
Vilnius	Lithuania
Luxembourg	Luxembourg
Skopje	Macedonia
Antananarivo	Madagascar
Lilongwe	Malawi
Kuala Lumpur	Malaysia
Malé	Maldives
Bamako	Mali
Valletta	Malta
Nouakchott	Mauritania
Port Louis	Mauritius
Mexico City	Mexico
Chisinau	Moldova
Monaco	Monaco
Ulan Bator	Mongolia
Podgorica	Montenegro
Rabat	Morocco
Maputo	Mozambique
Naypyidaw	Myanmar
Windhoek	Namibia
Kathmandu	Nepal
Amsterdam	Netherlands
Nouméa	New Caledonia
Wellington	New Zealand
Managua	Nicaragua
Niamey	Niger
Abuja	Nigeria
Pyongyang	North Korea
Belfast	Northern Ireland
Oslo	Norway
Muscat	Oman
Islamabad	Pakistan
Melekeok	Palau
Panama City	Panama
Port Moresby	Papua New Guinea
Asunción	Paraguay
Lima	Peru
Manila	Philippines
Warsaw	Poland
Lisbon	Portugal
San Juan	Puerto Rico
Doha	Qatar
Brazzaville	Republic of the Congo
Bucharest	Romania
Moscow	Russia
Kigali	Rwanda
El Aaiún (declared)	Sahrawi Arab Democratic Republic
Gustavia	Saint Barthélemy
Basseterre	Saint Kitts and Nevis
Castries	Saint Lucia
Kingstown	Saint Vincent and the Grenadines
Apia	Samoa
San Marino	San Marino
Riyadh	Saudi Arabia
Dakar	Senegal
Belgrade	Serbia
Victoria	Seychelles
Freetown	Sierra Leone
Singapore	Singapore
Bratislava	Slovakia
Ljubljana	Slovenia
Honiara	Solomon Islands
Mogadishu	Somalia
Pretoria (executive)	
Bloemfontein (judicial)	
Cape Town (legislative)	South Africa
Seoul	South Korea
Juba	South Sudan
Madrid	Spain
Sri Jayawardenapura-Kotte (legislative; largely de facto)	
Colombo (previous capital; has some government offices)	Sri Lanka
Jerusalem (declared)	
Ramallah and Gaza (de facto)	State of Palestine
Khartoum	Sudan
Paramaribo	Suriname
Mbabane (administrative)	
Lobamba (royal and legislative)	Swaziland
Stockholm	Sweden
Bern	Switzerland
Damascus	Syria
São Tomé	São Tomé and Príncipe
Taipei	Taiwan
Dushanbe	Tajikistan
Dodoma (official); mostly de facto	
Dar es Salaam (former; some government offices remaining)	Tanzania
Bangkok	Thailand
Lomé	Togo
Nukuʻalofa	Tonga
Port of Spain	Trinidad and Tobago
Tunis	Tunisia
Ankara	Turkey
Ashgabat	Turkmenistan
Cockburn Town	Turks and Caicos Islands
Kampala	Uganda
Kiev	Ukraine
Abu Dhabi	United Arab Emirates
London	United Kingdom;  England
Washington, D.C.	United States
Charlotte Amalie	United States Virgin Islands
Montevideo	Uruguay
Tashkent	Uzbekistan
Port Vila	Vanuatu
Vatican City	Vatican City
Caracas	Venezuela
Hanoi	Vietnam
Sanaá	Yemen
Lusaka	Zambia
Harare	Zimbabwe
